model,seed,rounds_survived,stability,balance,death_cause,run_token
Paper,0,6,-12.0,13.333333333333334,overpopulation,S1A0B2C3D4E
Paper,1,6,-11.0,12.222222222222221,reprorate_collapse,S1A0B2C3D4E
Paper,2,6,-8.0,12.222222222222221,env_collapse,S1A0B2C3D4E
Paper,3,6,-11.0,17.77777777777778,overpopulation,S1A0B2C3D4E
Sovereign,0,6,-12.0,13.333333333333334,overpopulation,S1A0B2C3D4E
Sovereign,1,6,-11.0,12.222222222222221,reprorate_collapse,S1A0B2C3D4E
Sovereign,2,6,-8.0,12.222222222222221,env_collapse,S1A0B2C3D4E
Sovereign,3,6,-11.0,17.77777777777778,overpopulation,S1A0B2C3D4E
