model,seed,rounds_survived,stability,balance,death_cause,run_token
Paper,0,2,-3.0,0.0,politics_collapse,470A90AB92EA
Paper,1,2,-3.0,0.0,politics_collapse,470A90AB92EA
Paper,2,2,-3.0,0.0,politics_collapse,470A90AB92EA
Paper,3,2,-3.0,0.0,politics_collapse,470A90AB92EA
Paper,4,2,-3.0,0.0,politics_collapse,470A90AB92EA
Sovereign,0,10,-12.0,0.7692307692307693,env_collapse,470A90AB92EA
Sovereign,1,10,-12.0,0.7692307692307693,env_collapse,470A90AB92EA
Sovereign,2,10,-12.0,0.7692307692307693,env_collapse,470A90AB92EA
Sovereign,3,10,-12.0,0.7692307692307693,env_collapse,470A90AB92EA
Sovereign,4,10,-12.0,0.7692307692307693,env_collapse,470A90AB92EA
