model,seed,rounds_survived,stability,balance,death_cause
Paper,20,2,2.0,0.0,unknown
Paper,21,2,2.0,0.0,unknown
Paper,22,2,2.0,0.0,unknown
Paper,23,2,2.0,0.0,unknown
Paper,24,3,4.0,0.0,unknown
Paper,25,2,2.0,0.0,unknown
Paper,26,3,2.0,0.0,unknown
Paper,27,2,2.0,0.0,unknown
Paper,28,2,2.0,0.0,unknown
Paper,29,3,3.0,0.0,unknown
Sovereign,20,2,2.0,0.0,unknown
Sovereign,21,2,2.0,0.0,unknown
Sovereign,22,2,2.0,0.0,unknown
Sovereign,23,2,2.0,0.0,unknown
Sovereign,24,3,4.0,0.0,unknown
Sovereign,25,2,2.0,0.0,unknown
Sovereign,26,3,2.0,0.0,unknown
Sovereign,27,2,2.0,0.0,unknown
Sovereign,28,2,2.0,0.0,unknown
Sovereign,29,3,3.0,0.0,unknown
